Username,Email,Role,Password
admin,rajlalwani511@gmail.com,Admin,Password@123
raj,rajlalwani5111@gmail.com,Candidate,Password@123
recruiter_demo,recruiter@smartrecruit.com,Recruiter,Password@123
candidate1,alice@example.com,Candidate,Password@123
candidate2,bob@example.com,Candidate,Password@123
candidate3,charlie@example.com,Candidate,Password@123
testrecruiter2,test2@example.com,Candidate,Password@123
janedoe,jane.doe@example.com,Candidate,Password@123
johnsmith,john.smith@example.com,Candidate,Password@123
anacandi1,anacandi1@example.com,Candidate,Password@123
anacandi2,anacandi2@example.com,Candidate,Password@123
anacandi3,anacandi3@example.com,Candidate,Password@123
anacandi4,anacandi4@example.com,Candidate,Password@123
anacandi5,anacandi5@example.com,Candidate,Password@123
anacandi6,anacandi6@example.com,Candidate,Password@123
anacandi7,anacandi7@example.com,Candidate,Password@123
anacandi8,anacandi8@example.com,Candidate,Password@123
anacandi9,anacandi9@example.com,Candidate,Password@123
anacandi10,anacandi10@example.com,Candidate,Password@123
anacandi11,anacandi11@example.com,Candidate,Password@123
anacandi12,anacandi12@example.com,Candidate,Password@123
anacandi13,anacandi13@example.com,Candidate,Password@123
anacandi14,anacandi14@example.com,Candidate,Password@123
anacandi15,anacandi15@example.com,Candidate,Password@123
anacandi16,anacandi16@example.com,Candidate,Password@123
anacandi17,anacandi17@example.com,Candidate,Password@123
anacandi18,anacandi18@example.com,Candidate,Password@123
anacandi19,anacandi19@example.com,Candidate,Password@123
anacandi20,anacandi20@example.com,Candidate,Password@123
test_applicant,test@test.com,Candidate,Password@123
test_applicant2,test2@test.com,Candidate,Password@123
testcandidate1,testcandidate1@example.com,Candidate,Password@123
rec_test_final,rectestfinal@example.com,Recruiter,Password@123
cand_test_final,candtestfinal@example.com,Candidate,Password@123
testuser1,testuser1@gmail.com,Candidate,Password@123
tester_abc_123,abc@example.com,Candidate,Password@123
tester_final_1,tester_final_1@example.com,Candidate,Password@123
tester_final_2,tester_final_2@example.com,Candidate,Password@123
tester_final_4,tester_final_4@example.com,Candidate,Password@123
tester_final_unique_1,unique_tester@gmail.com,Candidate,Password@123
test_candidate_3003,test_candidate_3003@example.com,Candidate,Password@123
test_finaltest_final2,test_final2@example.com,Candidate,Password@123
isha_tester_final,isha_tester@demo.com,Candidate,Password@123
recruiter_sec99,,Recruiter,Password@123
candidate_a99,,Candidate,Password@123
candidate_b99,,Candidate,Password@123
john.test100,john.test100@example.com,Candidate,Password@123
johnverify,john.verify@example.com,Candidate,Password@123
testcandidate,testcandidate@example.com,Candidate,Password@123
johndoe_999,johndoe999@example.com,Candidate,Password@123
recruiter_main,recruiter_main@example.com,Recruiter,Password@123
cand_v1,cand_v1@example.com,Candidate,Password@123
recruiter_final,final@recruiter.com,Recruiter,Password@123
testuser2,test2@example.com,Candidate,Password@123
jetski_test_user,jetski@example.com,Candidate,Password@123
testuser,test@example.com,Candidate,Password@123
jetski_test,jetski@example.com,Candidate,Password@123
cand_user_99,cand99@example.com,Candidate,Password@123
final_cand,final@cand.com,Candidate,Password@123
admin_ui,admin@example.com,Admin,Password@123
cand_ui,cand@example.com,Candidate,Password@123
ui_recruiter,ui_recruiter@example.com,Recruiter,Password@123
ui_candidate,ui_candidate@example.com,Candidate,Password@123
sourced_alexrivera_1773647111,sourced_alexrivera_1773647111@example.com,Candidate,Password@123
test_recruiter,recruiter@test.com,Recruiter,Password@123
test_candidate,candidate@test.com,Candidate,Password@123
testcandidate_unique_99,test1@example.com,Candidate,Password@123
testuser_browser,browser@test.com,Candidate,Password@123
candidate_test_e2e,candidate_test_e2e@irinfotech.com,Candidate,Password@123
